employment_matrix,2023 National Employment Matrix code,"Employment, 2023","Employment, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Median annual wage, dollars, 2023[1]",education_needed,Adaptability,Computers and information technology,Creativity and innovation,Critical and analytical thinking,Customer service,Detail oriented,Fine motor,Interpersonal,Leadership,Mathematics,Mechanical,Physical strength and stamina,Problem solving and decision making,Project management,Science,Speaking and listening,Writing and reading
  Baggage porters and bellhops,39-6011,29.5,29.6,0.1,0.5,"34,840",High school diploma or equivalent,3.4,2.6,2.4,2.5,3.9,3.4,2.6,3.6,3.0,2.1,2.2,3.1,3.3,2.6,1.2,3.2,2.8
  Concierges,39-6012,41.8,44.0,2.3,5.4,"37,150",High school diploma or equivalent,4.1,3.5,3.3,2.9,3.9,3.4,1.7,4.3,3.5,2.2,1.3,1.8,3.6,2.7,1.1,3.8,3.0
  Tour and travel guides,39-7010,56.3,61.7,5.3,9.5,"36,060",High school diploma or equivalent,3.6,2.3,2.8,2.5,3.3,3.2,1.6,3.6,2.6,2.0,1.3,1.9,3.0,1.9,1.4,3.7,2.9
  Childcare workers,39-9011,970.8,957.8,-13.0,-1.3,"30,370",High school diploma or equivalent,3.9,2.2,3.0,2.7,3.1,3.3,1.8,3.8,3.1,2.2,1.3,2.5,3.3,2.2,1.3,3.0,3.0
  Exercise trainers and group fitness instructors,39-9031,350.1,397.7,47.5,13.6,"46,480",High school diploma or equivalent,3.7,2.7,3.1,2.8,3.4,3.1,2.0,4.0,3.1,1.8,1.6,3.5,3.0,2.5,1.9,3.2,2.9
  Recreation workers,39-9032,300.0,316.5,16.5,5.5,"34,410",High school diploma or equivalent,4.1,3.2,3.5,3.1,3.5,3.5,1.9,4.1,3.6,2.4,1.8,2.6,3.5,3.4,1.4,3.6,3.3
  Residential advisors,39-9041,95.7,100.7,5.0,5.2,"37,950",High school diploma or equivalent,4.0,3.3,2.9,3.1,3.6,3.6,1.6,4.3,3.6,2.1,1.5,2.1,3.4,3.1,1.5,3.6,3.1
"  Personal care and service workers, all other[2]",39-9099,93.1,104.4,11.3,12.1,"36,980",High school diploma or equivalent,3.9,2.5,3.1,2.8,3.3,3.3,1.9,3.9,3.2,2.1,1.4,2.7,3.3,2.5,1.5,3.2,3.0
  First-line supervisors of retail sales workers,41-1011,"1,407.4","1,316.9",-90.5,-6.4,"46,730",High school diploma or equivalent,4.1,3.1,2.8,3.2,4.0,3.3,2.5,3.8,3.8,2.9,1.4,2.3,3.6,2.9,1.1,3.4,3.0
  First-line supervisors of non-retail sales workers,41-1012,347.8,351.9,4.1,1.2,"84,570",High school diploma or equivalent,3.7,3.4,2.5,3.4,3.6,3.4,2.0,3.5,4.2,3.1,1.6,1.5,4.0,3.2,1.1,3.7,3.6
  Cashiers,41-2011,"3,338.8","2,985.7",-353.1,-10.6,"29,720",No formal educational credential,3.7,2.3,2.3,2.5,3.9,3.5,2.7,3.5,2.9,3.0,1.6,2.3,3.0,2.1,1.3,2.9,2.8
  Gambling change persons and booth cashiers,41-2012,21.4,20.5,-0.9,-4.3,"33,230",No formal educational credential,3.8,2.6,1.9,2.7,3.8,3.8,2.6,3.5,3.0,3.2,2.0,2.3,3.3,2.6,1.1,2.9,2.9
  Counter and rental clerks,41-2021,403.7,420.8,17.1,4.2,"37,400",No formal educational credential,3.5,3.2,2.4,2.6,4.1,3.4,2.5,3.4,3.0,2.7,2.0,2.1,3.2,2.5,1.3,3.3,3.1
  Parts salespersons,41-2022,267.9,271.2,3.3,1.2,"36,860",No formal educational credential,3.8,3.6,2.6,2.8,4.2,3.4,2.3,3.6,3.3,2.9,2.3,2.5,3.6,2.8,1.2,3.5,3.4
  Retail salespersons,41-2031,"3,810.1","3,814.7",4.5,0.1,"33,680",No formal educational credential,3.7,2.8,2.7,2.6,4.2,3.4,2.2,3.6,2.7,2.7,1.6,2.3,3.3,2.3,1.2,3.4,3.0
  Advertising sales agents,41-3011,111.6,104.2,-7.4,-6.6,"61,270",High school diploma or equivalent,3.8,3.5,3.3,3.0,4.1,3.4,1.7,3.7,2.6,3.0,1.3,1.4,3.6,2.7,1.1,3.9,3.4
  Insurance sales agents,41-3021,547.6,581.0,33.4,6.1,"59,080",High school diploma or equivalent,3.8,3.3,2.5,3.1,3.9,3.7,1.7,3.4,2.3,3.2,1.3,1.3,3.6,2.3,1.1,3.6,3.7
"  Securities, commodities, and financial services sales agents",41-3031,513.8,547.9,34.1,6.6,"76,900",Bachelor's degree,4.0,3.7,2.7,3.4,3.6,3.8,1.6,3.3,2.9,3.3,1.2,1.2,3.9,2.9,1.2,3.4,3.6
  Travel agents,41-3041,68.8,71.2,2.3,3.4,"47,410",High school diploma or equivalent,3.4,3.7,2.4,2.9,3.7,4.0,2.4,3.3,2.6,2.7,1.3,1.2,3.4,2.5,1.1,3.6,3.5
"  Sales representatives of services, except advertising, insurance, financial services, and travel[2]",41-3091,"1,170.3","1,214.5",44.2,3.8,"64,600",High school diploma or equivalent,4.1,3.5,2.5,3.0,4.0,3.6,2.4,3.5,3.1,2.7,1.4,1.5,3.3,2.5,1.2,3.5,3.4
"  Sales representatives, wholesale and manufacturing, technical and scientific products",41-4011,325.3,335.3,10.0,3.1,"99,710",Bachelor's degree,3.7,3.1,2.6,3.0,3.5,3.4,1.9,3.5,2.5,3.0,1.4,1.4,3.5,2.6,1.6,3.7,3.5
"  Sales representatives, wholesale and manufacturing, except technical and scientific products",41-4012,"1,356.1","1,366.1",10.0,0.7,"65,630",High school diploma or equivalent,4.0,3.5,3.2,3.0,4.2,3.1,2.0,3.6,2.7,2.7,1.5,1.9,3.8,2.7,1.0,3.5,3.3
  Demonstrators and product promoters,41-9011,56.5,59.2,2.8,4.9,"36,970",No formal educational credential,3.5,2.4,2.6,2.7,4.0,3.2,2.4,3.6,2.8,2.1,1.5,2.3,3.3,2.2,1.2,3.6,3.1
  Models,41-9012,3.6,3.6,0.0,-0.4,"47,430",No formal educational credential,2.9,1.9,2.7,1.9,2.1,2.7,1.2,2.7,1.7,1.4,1.1,2.5,2.4,1.8,1.2,2.6,2.2
  Real estate brokers,41-9021,113.6,115.8,2.2,2.0,"63,060",High school diploma or equivalent,4.2,3.5,2.8,3.2,3.7,3.5,1.6,3.6,3.0,2.8,1.4,1.3,3.8,2.7,1.3,3.6,3.6
  Real estate sales agents,41-9022,430.7,438.7,7.9,1.8,"54,300",High school diploma or equivalent,4.0,3.6,2.8,3.0,4.0,3.6,1.7,3.8,3.3,3.1,1.7,1.7,3.8,3.0,1.3,3.7,3.6
  Sales engineers,41-9031,59.7,63.4,3.7,6.3,"116,950",Bachelor's degree,4.1,3.5,3.1,3.8,3.5,3.6,1.7,3.6,2.9,3.3,1.7,1.2,4.1,2.6,2.0,3.7,3.8
  Telemarketers,41-9041,85.2,66.8,-18.3,-21.5,"34,480",No formal educational credential,3.6,3.0,2.8,2.7,3.8,3.3,2.1,3.5,2.5,1.8,1.3,1.1,2.9,2.2,1.2,3.5,3.0
"  Door-to-door sales workers, news and street vendors, and related workers",41-9091,32.4,27.7,-4.8,-14.6,"34,910",No formal educational credential,3.2,3.0,2.3,2.4,3.9,2.6,1.7,3.5,3.0,2.1,1.2,1.4,3.0,2.5,1.1,3.5,2.9
"  Sales and related workers, all other[2]",41-9099,137.2,142.6,5.3,3.9,"44,610",High school diploma or equivalent,3.9,3.4,2.8,3.0,3.9,3.5,1.8,3.7,3.1,2.8,1.6,1.6,3.6,2.7,1.3,3.7,3.5
  First-line supervisors of office and administrative support workers,43-1011,"1,570.5","1,501.4",-69.1,-4.4,"63,450",High school diploma or equivalent,4.0,3.6,2.9,3.5,3.4,3.6,1.9,3.8,3.9,2.8,1.5,1.6,3.8,3.2,1.1,3.5,3.8
"  Switchboard operators, including answering service",43-2011,44.9,33.6,-11.3,-25.2,"36,750",High school diploma or equivalent,3.6,3.3,2.0,2.6,3.7,3.3,2.3,3.4,2.3,2.0,1.3,1.4,3.1,1.7,1.0,3.6,2.8
  Telephone operators,43-2021,4.7,3.5,-1.2,-26.4,"38,080",High school diploma or equivalent,4.1,2.7,2.3,2.7,3.6,3.7,2.5,3.6,2.5,2.0,1.1,1.1,3.2,2.1,1.0,3.7,2.9
"  Communications equipment operators, all other[2]",43-2099,1.4,1.5,0.1,5.1,"49,310",High school diploma or equivalent,3.6,3.2,2.0,2.6,3.6,3.4,2.3,3.4,2.3,2.0,1.3,1.3,3.1,1.7,1.0,3.6,2.8
  Bill and account collectors,43-3011,196.5,177.8,-18.6,-9.5,"44,250",High school diploma or equivalent,3.5,3.3,2.4,2.8,3.4,3.6,1.7,3.0,2.7,2.8,1.1,1.2,3.3,2.4,1.0,3.3,3.2
  Billing and posting clerks,43-3021,449.0,451.3,2.3,0.5,"45,590",High school diploma or equivalent,3.7,3.7,2.3,2.8,2.7,3.4,2.3,3.2,2.5,3.2,1.4,1.3,3.2,2.2,1.3,2.9,3.3
"  Bookkeeping, accounting, and auditing clerks",43-3031,"1,663.8","1,579.9",-83.9,-5.0,"47,440","Some college, no degree",3.6,3.6,2.2,2.8,3.0,3.7,2.3,3.2,2.5,3.6,1.2,1.3,3.2,2.6,1.1,3.0,3.3
  Gambling cage workers,43-3041,13.1,12.7,-0.5,-3.7,"36,110",High school diploma or equivalent,3.8,2.8,2.1,2.7,3.7,4.2,2.5,3.3,3.1,3.6,1.6,2.3,3.1,2.3,1.0,3.2,3.0
  Payroll and timekeeping clerks,43-3051,160.3,136.2,-24.2,-15.1,"52,240",High school diploma or equivalent,3.9,3.6,2.4,2.9,2.3,3.7,2.1,3.3,2.4,3.6,1.2,1.3,3.2,2.0,1.0,3.1,3.5
  Procurement clerks,43-3061,63.3,59.1,-4.2,-6.7,"46,670",High school diploma or equivalent,3.9,3.5,2.6,3.2,2.8,3.6,1.5,3.6,2.7,3.0,1.4,1.5,3.7,3.0,1.6,3.3,3.6
  Tellers,43-3071,350.3,298.8,-51.4,-14.7,"37,640",High school diploma or equivalent,3.9,3.3,2.4,2.9,3.9,3.9,2.8,3.6,2.9,3.4,1.6,1.9,3.5,2.5,1.1,3.3,3.2
"  Financial clerks, all other[2]",43-3099,46.2,47.3,1.1,2.3,"49,940",High school diploma or equivalent,3.7,3.5,2.2,2.8,3.1,3.7,2.3,3.2,2.6,3.5,1.3,1.4,3.3,2.5,1.1,3.0,3.3
  Brokerage clerks,43-4011,49.7,48.2,-1.4,-2.8,"60,150",High school diploma or equivalent,3.8,3.5,2.3,3.2,3.1,3.9,2.3,3.0,2.4,3.2,1.1,1.2,3.4,2.2,1.0,3.3,3.4
  Correspondence clerks,43-4021,5.5,5.1,-0.4,-6.7,"42,120",High school diploma or equivalent,3.5,3.7,2.4,2.8,3.1,3.7,1.8,3.1,2.6,2.9,1.2,1.3,3.4,2.4,1.2,3.1,3.8
"  Court, municipal, and license clerks",43-4031,165.1,171.4,6.3,3.8,"46,110",High school diploma or equivalent,3.9,3.7,2.3,3.0,3.6,3.6,2.4,3.5,2.9,2.6,1.4,1.4,3.2,2.4,1.1,3.3,3.3
"  Credit authorizers, checkers, and clerks",43-4041,14.5,13.7,-0.8,-5.2,"48,000",High school diploma or equivalent,3.8,3.6,2.1,2.9,3.9,3.8,1.8,3.2,3.2,2.6,1.1,1.2,3.7,2.4,1.1,3.4,3.7
  Customer service representatives,43-4051,"2,954.6","2,805.8",-148.8,-5.0,"39,680",High school diploma or equivalent,4.1,3.5,2.5,3.0,4.0,3.6,2.4,3.5,3.1,2.7,1.4,1.5,3.3,2.5,1.2,3.5,3.4
"  Eligibility interviewers, government programs",43-4061,160.0,164.9,5.0,3.1,"50,270",High school diploma or equivalent,4.1,3.7,2.5,3.1,3.4,3.7,2.1,3.7,2.7,2.6,1.1,1.2,3.5,2.3,1.1,3.6,3.8
  File clerks,43-4071,87.2,73.9,-13.3,-15.3,"38,130",High school diploma or equivalent,3.5,3.4,2.6,2.8,2.9,3.6,2.2,3.3,2.6,2.3,1.5,2.0,2.6,2.4,1.6,3.0,3.3
"  Hotel, motel, and resort desk clerks",43-4081,271.3,290.2,18.9,7.0,"30,790",High school diploma or equivalent,3.9,3.6,2.6,2.7,4.1,3.5,2.3,3.8,3.3,2.8,1.4,1.8,3.6,2.3,1.4,3.3,2.9
"  Interviewers, except eligibility and loan",43-4111,169.1,152.5,-16.7,-9.9,"40,300",High school diploma or equivalent,4.2,3.9,2.6,3.2,3.8,3.7,2.1,3.9,3.5,2.5,1.4,1.4,3.5,2.7,1.0,3.5,3.4
"  Library assistants, clerical",43-4121,87.7,82.7,-5.0,-5.7,"34,020",High school diploma or equivalent,3.6,3.5,2.5,2.6,3.2,3.2,2.4,3.5,2.6,2.1,1.3,2.2,3.2,2.6,1.1,3.1,3.1
  Loan interviewers and clerks,43-4131,206.1,201.2,-4.9,-2.4,"47,380",High school diploma or equivalent,3.9,3.5,2.5,3.3,4.0,3.7,2.1,3.2,2.6,3.2,1.3,1.3,3.8,2.4,1.0,3.6,3.8
  New accounts clerks,43-4141,42.2,36.0,-6.2,-14.6,"44,630",High school diploma or equivalent,3.8,3.3,2.1,2.8,3.8,3.7,2.3,3.6,2.9,3.1,1.2,1.6,3.3,2.0,1.0,3.4,3.1
  Order clerks,43-4151,106.3,87.3,-19.0,-17.9,"41,600","Some college, no degree",4.2,3.8,2.6,2.9,3.3,3.4,1.8,3.7,3.1,3.0,1.6,1.6,3.3,2.8,1.2,3.4,3.4
"  Human resources assistants, except payroll and timekeeping",43-4161,104.2,99.2,-5.0,-4.8,"47,710",Associate's degree,3.7,3.7,2.3,2.9,3.4,3.5,1.6,3.6,2.8,2.1,1.2,1.4,3.3,2.8,1.0,3.4,3.7
  Receptionists and information clerks,43-4171,"1,054.5","1,048.8",-5.7,-0.5,"35,840",High school diploma or equivalent,3.8,3.5,2.4,2.4,3.6,3.2,2.3,3.7,2.6,2.4,1.3,1.4,3.4,2.3,1.2,3.5,3.2
  Reservation and transportation ticket agents and travel clerks,43-4181,123.8,128.5,4.7,3.8,"40,610",High school diploma or equivalent,4.1,3.5,2.7,3.0,4.1,4.0,2.4,4.0,2.8,2.6,1.5,2.3,3.7,2.1,1.3,3.8,3.4
"  Information and record clerks, all other[2]",43-4199,162.8,167.4,4.7,2.9,"46,210",High school diploma or equivalent,4.0,3.5,2.5,2.9,3.8,3.5,2.3,3.6,3.0,2.6,1.3,1.5,3.4,2.5,1.2,3.5,3.4
  Cargo and freight agents,43-5011,106.7,117.0,10.3,9.7,"48,330",High school diploma or equivalent,3.6,3.0,2.4,2.9,3.1,3.6,2.2,2.9,2.5,2.5,2.2,1.8,3.3,2.2,1.3,3.3,3.2
  Couriers and messengers,43-5021,225.5,244.3,18.8,8.3,"36,710",High school diploma or equivalent,3.0,2.6,1.9,2.5,2.9,3.6,2.9,2.9,1.8,2.1,1.9,2.7,3.1,2.1,1.3,2.9,2.9
  Public safety telecommunicators,43-5031,102.7,106.8,4.1,4.0,"48,890",High school diploma or equivalent,4.3,4.1,2.5,3.3,4.3,4.3,2.8,4.0,3.3,2.0,1.9,1.6,3.8,2.8,1.4,3.8,3.6
"  Dispatchers, except police, fire, and ambulance",43-5032,215.4,215.7,0.4,0.2,"46,860",High school diploma or equivalent,3.9,3.4,2.4,3.1,3.7,3.7,2.4,3.5,3.5,2.3,1.5,1.3,3.9,2.5,1.3,3.5,3.4
"  Meter readers, utilities",43-5041,20.4,18.1,-2.3,-11.4,"47,720",High school diploma or equivalent,3.4,2.9,2.3,2.7,3.4,3.6,3.1,3.1,2.7,2.7,2.4,3.0,3.2,2.3,1.8,2.7,2.8
  Postal service clerks,43-5051,74.6,72.4,-2.2,-3.0,"59,570",No formal educational credential,3.7,2.9,2.2,2.7,3.9,3.5,2.7,3.2,2.7,3.0,1.7,2.7,3.0,2.4,1.3,3.2,3.1
  Postal service mail carriers,43-5052,316.7,307.1,-9.5,-3.0,"56,330",No formal educational credential,3.2,1.7,1.9,2.4,3.3,3.7,3.0,2.8,1.8,1.8,1.6,2.8,2.9,1.6,1.2,2.7,2.4
"  Postal service mail sorters, processors, and processing machine operators",43-5053,111.3,102.5,-8.7,-7.9,"53,440",No formal educational credential,3.3,2.2,2.0,2.6,2.2,3.3,3.2,2.9,2.5,1.9,1.9,2.9,2.8,1.6,1.1,2.6,2.7
"  Production, planning, and expediting clerks",43-5061,399.2,418.7,19.5,4.9,"53,900",High school diploma or equivalent,3.8,3.5,2.6,3.1,2.7,3.9,2.2,3.1,2.8,2.7,1.5,1.7,3.6,2.9,1.1,3.1,3.4
"  Shipping, receiving, and inventory clerks",43-5071,848.7,784.2,-64.4,-7.6,"39,780",High school diploma or equivalent,3.3,3.3,2.4,2.7,3.1,3.6,2.7,3.0,3.1,2.5,1.9,2.6,3.2,2.7,1.3,2.8,3.0
"  Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,51.8,50.1,-1.7,-3.3,"43,270",High school diploma or equivalent,3.6,3.2,2.4,2.9,2.7,3.9,2.8,3.2,3.3,3.1,2.2,2.4,3.1,2.7,1.6,2.9,3.2
  Executive secretaries and executive administrative assistants,43-6011,516.1,517.2,1.2,0.2,"70,310",High school diploma or equivalent,3.9,3.7,2.9,2.9,3.0,3.5,2.4,3.8,2.7,2.7,1.3,1.4,3.3,3.1,1.2,3.5,3.7
  Legal secretaries and administrative assistants,43-6012,154.2,146.3,-7.9,-5.1,"50,680",High school diploma or equivalent,3.5,3.4,2.2,2.7,2.7,3.6,2.2,3.2,2.4,2.1,1.2,1.3,3.0,2.3,1.0,3.3,3.7
  Medical secretaries and administrative assistants,43-6013,768.9,810.1,41.3,5.4,"40,640",High school diploma or equivalent,3.7,3.6,2.3,2.9,3.8,3.5,2.4,3.9,2.9,2.3,1.4,1.3,3.3,2.8,1.4,3.5,3.4
"  Secretaries and administrative assistants, except legal, medical, and executive",43-6014,"1,982.3","1,976.2",-6.1,-0.3,"44,280",High school diploma or equivalent,3.6,3.6,2.4,2.7,3.1,3.5,2.3,3.6,2.5,2.3,1.3,1.3,3.1,2.5,1.3,3.5,3.7
  Data entry keyers,43-9021,163.9,122.8,-41.0,-25.0,"37,790",High school diploma or equivalent,4.1,3.6,2.6,2.9,2.7,4.0,3.0,3.4,2.9,2.3,1.4,1.8,3.3,2.4,1.1,2.9,3.4
  Word processors and typists,43-9022,39.9,24.8,-15.2,-38.0,"46,450",High school diploma or equivalent,3.5,3.6,2.3,2.6,3.3,3.6,2.7,3.3,2.3,2.4,1.5,1.4,2.7,2.4,1.0,2.8,3.2
  Desktop publishers,43-9031,6.4,5.6,-0.9,-13.4,"51,290",Associate's degree,3.9,3.9,3.5,3.2,2.5,3.7,2.7,3.0,2.9,2.2,1.7,1.6,3.3,2.7,1.0,3.1,3.6
  Insurance claims and policy processing clerks,43-9041,271.8,261.3,-10.5,-3.9,"46,900",High school diploma or equivalent,3.6,3.6,2.1,2.9,3.0,3.6,2.2,3.3,2.3,2.6,1.1,1.3,3.3,2.0,1.1,3.0,3.4
"  Mail clerks and mail machine operators, except postal service",43-9051,70.6,66.2,-4.4,-6.2,"36,880",High school diploma or equivalent,3.5,2.8,2.2,2.5,3.0,3.8,3.0,3.1,2.7,2.4,2.1,2.6,3.3,2.0,1.1,2.7,2.9
"  Office clerks, general",43-9061,"2,645.8","2,498.2",-147.5,-5.6,"40,480",High school diploma or equivalent,3.7,3.3,2.2,2.7,3.0,3.6,2.3,3.2,2.4,2.6,1.4,1.5,2.9,2.5,1.2,3.2,3.3
"  Office machine operators, except computer",43-9071,29.2,24.8,-4.4,-15.1,"37,450",High school diploma or equivalent,3.3,3.2,2.4,2.6,2.9,3.3,2.7,2.9,2.8,2.7,2.5,2.2,2.9,2.7,1.1,2.7,3.0
  Proofreaders and copy markers,43-9081,6.7,6.5,-0.2,-3.4,"48,790",Bachelor's degree,3.3,3.3,2.1,2.6,2.0,3.7,2.1,2.5,1.8,1.8,1.1,1.2,2.9,1.9,1.1,3.0,3.7
  Statistical assistants,43-9111,7.9,7.9,0.0,0.2,"50,510",Bachelor's degree,3.7,4.1,2.5,3.5,2.7,3.7,1.7,3.2,2.9,4.2,1.1,1.2,3.4,2.4,1.5,3.2,3.8
"  Office and administrative support workers, all other[2]",43-9199,206.8,190.8,-16.0,-7.7,"43,230",High school diploma or equivalent,3.7,3.4,2.3,2.7,3.0,3.6,2.3,3.3,2.4,2.5,1.4,1.5,3.0,2.4,1.2,3.2,3.3
"  First-line supervisors of farming, fishing, and forestry workers",45-1011,68.9,71.0,2.1,3.1,"57,320",High school diploma or equivalent,3.6,2.8,2.5,3.1,2.8,3.6,3.0,3.2,3.6,2.8,2.8,2.8,3.7,3.2,2.6,3.2,3.1
  Agricultural inspectors,45-2011,13.3,13.9,0.5,3.9,"48,010",Bachelor's degree,3.8,3.3,2.4,3.3,3.2,3.8,2.6,3.2,3.0,2.7,1.9,2.4,3.7,2.5,2.2,3.2,3.4
  Animal breeders,45-2021,6.7,6.9,0.2,2.4,"47,540",High school diploma or equivalent,3.3,2.8,2.1,2.7,2.5,3.4,2.6,2.9,2.3,2.4,1.8,2.8,3.3,2.6,2.6,2.6,2.7
"  Graders and sorters, agricultural products",45-2041,32.2,30.6,-1.5,-4.7,"34,360",No formal educational credential,2.8,1.9,1.7,2.1,2.0,2.9,2.8,2.6,2.5,1.8,1.7,2.5,2.6,2.0,1.5,2.5,2.2
  Agricultural equipment operators,45-2091,62.7,68.0,5.3,8.4,"39,690",No formal educational credential,3.2,2.2,2.4,2.4,2.1,3.3,3.1,3.2,3.2,2.0,3.2,2.8,2.6,2.1,2.2,2.7,2.2
"  Farmworkers and laborers, crop, nursery, and greenhouse",45-2092,497.3,485.4,-11.9,-2.4,"34,470",No formal educational credential,3.3,2.3,2.5,2.7,2.4,3.2,3.5,2.9,2.9,2.3,2.8,3.6,2.7,2.6,2.2,2.7,2.8
"  Farmworkers, farm, ranch, and aquacultural animals",45-2093,204.7,194.1,-10.6,-5.2,"35,120",No formal educational credential,3.4,2.3,2.5,2.8,2.6,3.4,3.0,2.7,3.0,2.3,2.8,3.0,3.3,2.6,2.4,2.7,2.8
"  Agricultural workers, all other[2]",45-2099,11.0,11.3,0.3,2.5,"40,620",No formal educational credential,3.3,2.3,2.5,2.7,2.4,3.2,3.3,2.9,2.9,2.3,2.7,3.3,2.9,2.6,2.2,2.7,2.7
  Fishing and hunting workers,45-3031,25.5,25.3,-0.2,-0.7,—,No formal educational credential,3.2,2.2,2.5,2.6,2.5,3.3,3.3,2.5,2.4,1.9,2.7,3.2,3.3,2.3,2.0,2.6,2.3
  Forest and conservation workers,45-4011,10.9,10.5,-0.4,-3.8,"33,940",High school diploma or equivalent,3.8,3.1,2.5,2.7,2.8,3.4,2.8,3.0,2.9,2.1,2.5,3.0,3.4,2.3,2.2,3.0,2.8
  Fallers,45-4021,6.9,6.3,-0.6,-8.4,"53,170",High school diploma or equivalent,3.2,1.3,2.0,2.5,1.8,3.6,3.5,2.7,2.1,2.3,2.8,3.6,3.4,2.0,1.8,2.5,2.0
  Logging equipment operators,45-4022,34.1,32.8,-1.3,-3.8,"48,240",High school diploma or equivalent,3.4,1.9,2.4,2.6,2.3,3.7,3.5,3.0,3.1,2.3,3.4,2.6,3.6,2.6,1.5,2.5,2.6
  Log graders and scalers,45-4023,5.2,5.1,-0.1,-1.5,"45,600",High school diploma or equivalent,3.5,2.9,2.5,2.9,2.8,3.6,3.1,3.0,2.9,3.0,2.3,2.5,3.6,2.7,1.7,2.8,3.0
"  Logging workers, all other[2]",45-4029,3.7,3.4,-0.3,-7.4,"52,480",High school diploma or equivalent,3.4,1.9,2.3,2.6,2.3,3.6,3.5,3.0,2.9,2.4,3.2,2.7,3.5,2.5,1.6,2.5,2.5
  First-line supervisors of construction trades and extraction workers,47-1011,853.2,903.4,50.3,5.9,"76,760",High school diploma or equivalent,4.0,2.8,2.8,3.3,3.3,3.9,2.8,3.4,3.7,3.0,2.8,2.5,3.9,3.0,2.0,3.3,3.2
  Boilermakers,47-2011,11.3,11.2,-0.1,-1.2,"71,140",High school diploma or equivalent,3.3,2.2,2.6,3.2,2.6,3.6,3.7,3.2,3.1,2.8,3.5,3.2,3.5,2.6,2.1,2.8,2.9
  Brickmasons and blockmasons,47-2021,72.6,75.0,2.4,3.3,"59,640",High school diploma or equivalent,3.4,1.9,2.6,2.8,2.7,3.7,3.2,2.9,3.3,3.0,2.5,3.6,3.2,2.9,1.8,2.7,2.7
  Stonemasons,47-2022,12.4,12.0,-0.4,-3.6,"51,830",High school diploma or equivalent,3.1,1.4,2.7,2.8,2.1,3.1,3.3,3.1,3.5,2.9,2.4,3.5,3.4,2.7,1.8,2.8,2.8
  Carpenters,47-2031,923.1,961.6,38.6,4.2,"56,350",High school diploma or equivalent,3.7,2.5,2.7,3.1,2.9,4.0,3.4,3.2,3.4,3.1,2.8,3.1,3.5,2.9,2.0,2.9,3.0
  Carpet installers,47-2041,20.3,18.5,-1.8,-8.9,"47,520",No formal educational credential,3.5,1.4,2.5,2.7,2.9,3.6,3.2,2.9,3.0,3.0,2.4,3.3,3.5,2.4,1.5,2.6,2.4
"  Floor layers, except carpet, wood, and hard tiles",47-2042,32.8,36.1,3.3,10.1,"48,840",No formal educational credential,3.3,1.5,2.6,2.7,2.8,3.3,3.1,2.8,3.0,2.4,1.9,2.8,3.4,2.4,1.7,2.6,2.5
  Floor sanders and finishers,47-2043,6.6,6.8,0.2,2.5,"47,760",No formal educational credential,3.5,1.9,2.5,2.5,3.0,3.7,3.6,2.8,3.3,2.3,2.7,3.4,3.5,2.7,1.5,2.6,2.5
  Tile and stone setters,47-2044,55.6,61.4,5.8,10.4,"48,910",No formal educational credential,3.5,1.6,2.7,2.8,2.3,3.8,3.3,2.7,2.9,2.9,2.3,3.2,3.1,2.5,1.5,2.6,2.6
  Cement masons and concrete finishers,47-2051,211.8,210.3,-1.5,-0.7,"50,720",No formal educational credential,3.3,2.1,2.3,2.7,2.8,3.8,3.5,2.8,3.3,2.6,2.6,3.5,3.3,2.9,1.6,2.7,2.2
  Terrazzo workers and finishers,47-2053,1.5,1.4,-0.1,-8.4,"48,900",High school diploma or equivalent,3.3,1.5,2.4,2.6,2.5,3.7,3.3,2.9,3.1,2.5,2.7,3.3,2.9,2.6,2.0,2.5,2.1
  Construction laborers,47-2061,"1,401.2","1,516.6",115.4,8.2,"45,300",No formal educational credential,3.2,1.9,2.3,2.6,2.8,3.7,3.2,2.9,3.1,2.0,3.0,3.1,3.2,2.7,1.5,2.7,2.7
"  Paving, surfacing, and tamping equipment operators",47-2071,44.5,46.3,1.7,3.9,"48,980",High school diploma or equivalent,3.4,2.0,2.5,2.6,2.7,3.6,3.3,2.9,3.1,2.2,3.1,3.0,3.1,2.3,2.0,2.7,2.2
  Pile driver operators,47-2072,3.1,3.3,0.1,4.6,"63,550",High school diploma or equivalent,3.4,2.1,2.4,2.6,2.5,4.0,3.6,2.9,2.8,2.5,3.3,2.9,3.4,2.4,1.9,2.8,2.3
  Operating engineers and other construction equipment operators,47-2073,468.0,487.6,19.6,4.2,"56,160",High school diploma or equivalent,3.8,1.9,2.5,2.8,3.0,4.0,3.4,3.1,3.3,2.2,3.3,2.7,3.7,2.8,1.6,2.7,2.7
  Drywall and ceiling tile installers,47-2081,116.6,120.4,3.8,3.3,"55,700",No formal educational credential,3.1,1.6,2.3,2.6,2.4,3.6,3.3,2.8,2.8,2.6,2.2,3.4,3.1,2.2,1.5,2.6,2.5
  Tapers,47-2082,20.0,19.8,-0.1,-0.7,"63,350",No formal educational credential,2.8,1.2,2.1,2.3,2.3,3.1,2.9,2.5,2.6,1.8,2.0,3.0,2.9,1.9,1.3,2.5,2.2
